,Item Name,Price,URL,Platform,Sold,Rating
0,NESCAFE Gold Coffee Refill 170g,25.0,https://www.lazada.com.my/products/nescafe-gold-coffee-refill-170g-i217777180-s275840790.html?search=1,Lazada,,
1,Nescafe Gold Blend Refill Pack (170g),25.5,https://www.lazada.com.my/products/nescafe-gold-blend-refill-pack-170g-i1497814392-s4959894747.html?search=1,Lazada,,
2,NESCAFE GOLD Refill 170g x 2 packs,26.7,https://www.lazada.com.my/products/nescafe-gold-refill-170g-x-2-packs-i422852521-s616466681.html?search=1,Lazada,,
3,NESCAFE GOLD Refill Twin Pack(170g x 2 Packs),54.99,https://www.lazada.com.my/products/nescafe-gold-refill-twin-pack170g-x-2-packs-i717014867-s5107432546.html?search=1,Lazada,,
4,NESCAFE GOLD Refill 170g,60.0,https://www.lazada.com.my/products/nescafe-gold-refill-170g-i1466782210-s4795764332.html?search=1,Lazada,,
5,SHOPPA Nescafe Gold Refill Pack - Rich & Smooth | 170g x 2,48.5,https://www.lazada.com.my/products/shoppa-nescafe-gold-refill-pack-rich-smooth-170g-x-2-i1038312914-s2803196180.html?search=1,Lazada,,
6,Nescafe Gold Refill Packs (170g x 2 Packs),24.9,https://www.lazada.com.my/products/nescafe-gold-refill-packs-170g-x-2-packs-i1007900529-s2675956151.html?search=1,Lazada,,
8,NESCAFE GOLD Refill 170g x 2 Packs,56.0,https://www.lazada.com.my/products/nescafe-gold-refill-170g-x-2-packs-i1185158749-s3459396445.html?search=1,Lazada,,
9,Nescafe Gold Refill Pack - 170G,49.0,https://www.lazada.com.my/products/nescafe-gold-refill-pack-170g-i1132424475-s3210902542.html?search=1,Lazada,,
11,NESCAFE GOLD Refill 170g x3 packs,49.0,https://www.lazada.com.my/products/nescafe-gold-refill-170g-x3-packs-i561148345-s1117100882.html?search=1,Lazada,,
12,NESCAFE GOLD Refill 170g,51.0,https://www.lazada.com.my/products/nescafe-gold-refill-170g-i474296183-s776722766.html?search=1,Lazada,,
13,Nescafe Gold Coffee Refill 170g,49.9,https://www.lazada.com.my/products/nescafe-gold-coffee-refill-170g-i1422250466-s4560308531.html?search=1,Lazada,,
15,Nestle Nescafe Gold Refill 170g  ,27.9,https://www.lazada.com.my/products/nestle-nescafe-gold-refill-170g-i1090792117-s3029374994.html?search=1,Lazada,,
16,Nescafe Gold Refill Pack 170g ( Exp 2022 JAN ),53.0,https://www.lazada.com.my/products/nescafe-gold-refill-pack-170g-exp-2022-jan-i966562151-s2492686310.html?search=1,Lazada,,
17,NESCAFE GOLD Refill (170g),59.0,https://www.lazada.com.my/products/nescafe-gold-refill-170g-i964278588-s2482374443.html?search=1,Lazada,,
18,Nescafe Gold Refill (170g x 2 Promo),80.29,https://www.lazada.com.my/products/nescafe-gold-refill-170g-x-2-promo-i871292625-s2138830927.html?search=1,Lazada,,
20,Nescafe Gold Refill 170g,26.8,https://www.lazada.com.my/products/nescafe-gold-refill-170g-i895602737-s2214278854.html?search=1,Lazada,,
21,NESCAFE GOLD Refill 170g x 2 Packs,51.5,https://www.lazada.com.my/products/nescafe-gold-refill-170g-x-2-packs-i1278930379-s3870796738.html?search=1,Lazada,,
22,NESCAFE GOLD Refill (170g),24.9,https://www.lazada.com.my/products/nescafe-gold-refill-170g-i1278924375-s3870786685.html?search=1,Lazada,,
23,[READY STOCK] Nestle Nescafe Gold Blend Refill 170g,26.9,https://www.lazada.com.my/products/ready-stock-nestle-nescafe-gold-blend-refill-170g-i1411674562-s4500670155.html?search=1,Lazada,,
24,SHOPPA Nescafe Gold Refill Pack - Rich & Smooth | 170g,29.0,https://www.lazada.com.my/products/shoppa-nescafe-gold-refill-pack-rich-smooth-170g-i828962369-s1966340614.html?search=1,Lazada,,
25,NESCAFE GOLD REFILL 170g EXP 06/2021,27.9,https://www.lazada.com.my/products/nescafe-gold-refill-170g-exp-062021-i493962359-s895530945.html?search=1,Lazada,,
26,Nescafe Gold Refill 170g x 2 packs exp: Mar2022,49.9,https://www.lazada.com.my/products/nescafe-gold-refill-170g-x-2-packs-exp-mar2022-i1154204982-s3308714720.html?search=1,Lazada,,
27,NESCAFE GOLD Refill Twin Pack 170g X 2,60.0,https://www.lazada.com.my/products/nescafe-gold-refill-twin-pack-170g-x-2-i970590844-s2512292718.html?search=1,Lazada,,
28,NESCAFE Gold Refill Twin Pack x 170g,53.52,https://www.lazada.com.my/products/nescafe-gold-refill-twin-pack-x-170g-i707966214-s1543226935.html?search=1,Lazada,,
29,[EXPIRY 2021/2022] NESCAFE Gold Refill Pack 170g x 2 - NEW PACKAGING!,26.76,https://www.lazada.com.my/products/expiry-20212022-nescafe-gold-refill-pack-170g-x-2-new-packaging-i422439798-s2181570486.html?search=1,Lazada,,
30,NESCAFE GOLD Refill 170g,135.0,https://www.lazada.com.my/products/nescafe-gold-refill-170g-i970178278-s2510162325.html?search=1,Lazada,,
31,Nescafe Gold Refill Pack 170g,175.0,https://www.lazada.com.my/products/nescafe-gold-refill-pack-170g-i531008319-s1051948091.html?search=1,Lazada,,
32,Nescafe Gold Blend Refill 170g,115.0,https://www.lazada.com.my/products/nescafe-gold-blend-refill-170g-i1263004705-s3796582915.html?search=1,Lazada,,
33,NESCAFE GOLD Refill 170g,149.0,https://www.lazada.com.my/products/nescafe-gold-refill-170g-i408534661-s591177597.html?search=1,Lazada,,
34,NESCAFE GOLD Refill - 170g,21.0,https://www.lazada.com.my/products/nescafe-gold-refill-170g-i1014494548-s2699708457.html?search=1,Lazada,,
35,NESCAFE GOLD Refill 170g,27.5,https://www.lazada.com.my/products/nescafe-gold-refill-170g-i463786146-s743872856.html?search=1,Lazada,,
36,Nescafe Gold Coffee Refill 170g,23.4,https://www.lazada.com.my/products/nescafe-gold-coffee-refill-170g-i1219856120-s3601716732.html?search=1,Lazada,,
0,NESCAFE Classic Refill (200g),15.49,,Shopee,23469.0,4.945004
1,NESCAFE Classic Refill (300g) Free 30g,20.99,,Shopee,5689.0,4.932686
2,NESCAFE GOLD Refill (170g) READY STOCK,26.96,,Shopee,192.0,4.88
7,Nescafe Gold Refill Pack (170g),26.0,,Shopee,36.0,5.0
10,Nescafe Gold Blend Refill 170g,24.9,,Shopee,136.0,4.960784
13,Freeze Dried Instant Coffee Granule (Water Soluble) - Arabica Blend / Serbuk Kopi Segera,5.5,,Shopee,110.0,5.0
14,Nescafe Gold Blend Refill Pouch (170g),28.9,,Shopee,27.0,4.666667
16,Nescafe Gold Refill Pack (170g) (new packaging),27.99,,Shopee,256.0,4.75
17,NESCAFE Classic Decaf (100g),13.9,,Shopee,954.0,4.969027
18,Nescafe Gold Refill 170g/pack,23.8,,Shopee,16.0,5.0
19,NESCAFE GOLD Refill 170g (exp 2/2022),25.9,,Shopee,720.0,4.96817
20,NESCAFE GOLD Refill 170g,25.9,,Shopee,158.0,4.977273
21,ðŸ”¥ORIGINALðŸ”¥ BlacK G Original Coffee  R&D By MARDI,45.0,,Shopee,30.0,5.0
22,Nescafe Gold Refill (170g),26.78,,Shopee,41.0,4.294118
27,NESCAFE GOLD Refill (170g) Ready Stock,24.0,,Shopee,105.0,4.892857
28,Nestle Nescafe Gold Blend Refill 170g tri-pack,76.0,,Shopee,300.0,4.830508
30,Nescafe Gold Refill 170G,25.5,,Shopee,160.0,4.956044
33,(Ready Stock)ðŸ”¥ðŸ”¥Hot Items ðŸ”¥ðŸ”¥Kopi Cappuccino Inegi utk mengembalikan kesegaran tubuh badan selepas mengerah tenaga.,32.0,,Shopee,1.0,5.0
34,Nescafe gold refill 170g,26.4,,Shopee,422.0,4.84127
35,NESCAFE GOLD Refill (170g),29.99,,Shopee,25.0,5.0
36,Nescafe Gold Refill Pack (1x170g) Exp 01/2022,24.99,,Shopee,72.0,4.903226
38,Nescafe Gold Coffee Refill 170g,30.0,,Shopee,30.0,4.8125
39,!!!BEST BUY!!! NESCAFÃ‰ Gold Refill Pack (170g),30.9,,Shopee,30.0,5.0
42,Nescafe Gold Original Refill Pack 170g,26.55,,Shopee,6.0,5.0
43,NESCAFE GOLD Refill (170g),26.9,,Shopee,14.0,5.0
44,Nescafe Gold Blend Refill Pack (170g),26.7,,Shopee,10.0,3.0
46,Nescafe Gold - Instant Coffee / Kopi Blend Refill Pack 170g,27.8,,Shopee,5.0,5.0
47,Nescafe Gold Rich & Smooth Coffee (Refill) 170g,25.5,,Shopee,2.0,5.0
49,NESCAFE GOLD REFILL 170G,27.99,,Shopee,3.0,5.0
50,ðŸ”¥PROMOTIONðŸ”¥ Nescafe Gold Refill Pack (170g) (new packaging),25.9,,Shopee,0.0,0.0
54,NESCAFE Gold Refill Pack (170g),28.15,,Shopee,0.0,0.0
55,Ready Stok Nescafe Gold Refill (85Cups),26.9,,Shopee,1.0,5.0
56,Nescafe Gold Rich and Smooth  Refill 170 Gram,28.6,,Shopee,1.0,5.0
57,Nescafe Gold Rich & Smooth Pure Soluble Coffee 170G Refill,26.9,,Shopee,12.0,4.888889
59,NESCAFE GOLD Refill (170g),30.69,,Shopee,0.0,0.0
60,NESCAFÃ‰ GOLD RICH & SMOOTH REFILL PACK | 170G,30.9,,Shopee,0.0,0.0
61,"NESCAFE GOLD Combo Set
- Nescafe Gold Jar 200g  1 bottle + Refill Pack 170g 1pkt",70.99,,Shopee,0.0,0.0
62,NESCAFE GOLD > Rich & Smooth > Refill Pack > 170g,30.9,,Shopee,0.0,0.0
63,Nescafe  Gold Refill 170g,28.99,,Shopee,0.0,0.0
64,Nescafe GOLD Refill 170g (READY STOCK),25.1,,Shopee,2.0,0.0
65,NESCAFE GOLD Refill 170g Rich & Smooth Readystock,28.8,,Shopee,0.0,0.0
66,NESCAFE GOLD REFILL 170G,24.9,,Shopee,0.0,0.0
68,Nescafe Gold Refill Pack 170gx2,65.99,,Shopee,0.0,0.0
69,readystock NESCAFE GOLD Refill (170g),26.59,,Shopee,0.0,0.0
71,READY STOCK (NESCAFE GOLD Refill )(1 Pack),28.0,,Shopee,0.0,0.0
72,NESCAFE GOLD CREMA REFILL,31.5,,Shopee,0.0,0.0
73,NESCAFE CREAM GOLD REFILLS,31.0,,Shopee,0.0,0.0
77,NESCAFE Gold Refill 170gram Expired 02/2022,25.9,,Shopee,17.0,4.857143
79,Nescafe Gold Bkend Refill 170gm,26.5,,Shopee,0.0,0.0
80,NESCAFE GOLD Refill 170g,23.5,,Shopee,0.0,0.0
81,NESCAFE GOLD Refill 170g (exp 4/2021),26.9,,Shopee,0.0,0.0
82,Nescafe Gold Refill 170g,27.36,,Shopee,0.0,0.0
83,Nestle Nescafe Gold Blend Refill 170g,26.5,,Shopee,114.0,4.931034
86,Nescafe Gold Refill (170g),27.5,,Shopee,13.0,5.0
87,Nescafe Gold Refill Pack 170g (Expiry 2021),29.7,,Shopee,0.0,0.0
89,Ori Nescafe Gold Refill 170g,33.0,,Shopee,0.0,0.0
